Name	Set	ImageFile	Cost	Element	Power	FirstCategory	SecondCategory	Type	Job	Effect	
Jecht	Opus_I	1-015L_eg.jpg	5	FIRE	8000	D	X	Forward	Guardian	"For each Forward opponent controls, Jecht gains +1000 power.[[br]] [[s]]Ultimate Jecht Shot[[/]] {S}{FIRE}{2}{TAP}: Choose 1 Forward. Break it."
Tifa	Opus_I	1-016C_eg.jpg	2	FIRE	4000	V	null	Forward	Martial Artist	Haste (This Character can attack or use abilities containing {TAP} in the cost the turn it enters the field.)
Dajh	Opus_I	1-017R_eg.jpg	2	FIRE	0	X	null	Backup	L'Cie	The [[i]]Card Name Sazh[[/]] you control cannot be chosen by your opponent's Summons or abilities.
Bahamut	Opus_I	1-018L_eg.jpg	9	FIRE	0	X	null	Summon		"Choose up to 2 Forwards opponent controls. Deal them 10000 damage. If they are put from the field into the Break Zone this turn, remove them from the game instead."
Chocobo Chick	Opus_I	1-019C_eg.jpg	2	FIRE	0	X	null	Backup	Chocobo Chick	{FIRE}{TAP}: Choose 1 Fire Backup. Activate it.
Fang	Opus_I	1-020R_eg.jpg	4	FIRE	7000	X	null	Forward	Commando	"The cost required to cast [Card Name (Bahamut)] is reduced by 2 (it cannot become 0).[[br]] When Fang attacks, Fang gains First Strike until the end of the turn."
Firion	Opus_I	1-021H_eg.jpg	4	FIRE	8000	I	null	Forward	Rebel	"When Firion enters the field, choose 1 Forward. Deal it 4000 damage."
Firion	Opus_I	1-022R_eg.jpg	4	FIRE	7000	D	II	Forward	Warrior	{1}: Firion gains First Strike until the end of the turn.[[br]] {1}: Firion gains Brave until the end of the turn.[[br]] {2}: Choose 1 Forward. Deal it 1000 damage.[[br]] {2}: Firion gains +1000 power until the end of the turn.
Brynhildr	Opus_I	1-023R_eg.jpg	3	FIRE	0	X	null	Summon		[[ex]]EX BURST[[/]] Choose 1 Forward. Deal it 7000 damage.
Magus	Opus_I	1-024C_eg.jpg	3	FIRE	0	I	null	Backup	Standard Unit	"When Magus enters the field, deal 3000 damage to all the Forwards opponent controls."
Squire	Opus_I	1-025C_eg.jpg	2	FIRE	5000	F	null	Forward	Standard Unit	
Squire	Opus_I	1-026C_eg.jpg	1	FIRE	3000	F	null	Forward	Standard Unit	
Lann	Opus_I	1-027H_eg.jpg	3	FIRE	7000	W	null	Forward	Mirage Keeper	Lann cannot be blocked by a Forward with a power greater than his.[[br]] Lann cannot block a Forward with a power greater than his.
Reynn	Opus_I	1-028R_eg.jpg	4	FIRE	0	W	null	Backup	Mirage Keeper	"[[ex]]EX BURST[[/]] When Reynn enters the field, you may search for 1 [Card Name (Lann)] and add it to your hand.[[br]] {FIRE}{１}{TAP}: Choose 1 [Card Name (Lann)]. It gains +1000 power until the end of the turn."
Red XIII	Opus_I	1-029C_eg.jpg	2	FIRE	5000	V	null	Forward	Warrior	"First Strike (If this Forward blocks or is blocked by a Forward without First Strike, this Forward deals damage first.)"
Lebreau	Opus_I	1-030R_eg.jpg	3	FIRE	0	X	null	Backup	NORA	The Fire Forwards you control gain +1000 power.
Chemist	Opus_I	1-031C_eg.jpg	3	ICE	0	F	null	Backup	Standard Unit	"When Chemist enters the field, choose 1 Forward. Dull it."
Chemist	Opus_I	1-032C_eg.jpg	2	ICE	0	F	null	Backup	Standard Unit	"When Chemist enters the field, choose 1 Forward. It cannot be broken this turn."
Argath	Opus_I	1-033C_eg.jpg	2	ICE	3000	F	null	Forward	Squire	"When Argath enters the field, your opponent discards 1 card from his/her hand."
Orran	Opus_I	1-034R_eg.jpg	3	ICE	0	F	null	Backup	Astrologer	[[s]]Celestial Stasis[[/]] {S}{ICE}{ICE}{ICE}{TAP}: Dull all the Forwards opponent controls.
Bard	Opus_I	1-035C_eg.jpg	2	ICE	4000	I	null	Forward	Standard Unit	{ICE}{ICE}{TAP}: Choose 1 Forward. Dull it.
Bard	Opus_I	1-036C_eg.jpg	2	ICE	0	I	null	Backup	Standard Unit	"{ICE}{TAP}, put Bard into the Break Zone: Your opponent discards 1 card from his/her hand."
Kuja	Opus_I	1-037H_eg.jpg	5	ICE	9000	D	IX	Forward	Genome	"When Kuja is chosen by a Summon or an ability of your opponent, your opponent discards 1 card from his/her hand."
Shiva	Opus_I	1-038R_eg.jpg	3	ICE	0	X	null	Summon		[[ex]]EX BURST[[/]] Choose 1 Forward. Dull it and Freeze it.
Shiva	Opus_I	1-039C_eg.jpg	1	ICE	0	F	null	Summon		[[ex]]EX BURST[[/]] Choose 1 dull Forward. Deal it 5000 damage.
Summoner	Opus_I	1-040C_eg.jpg	1	ICE	0	F	null	Backup	Standard Unit	
Squall	Opus_I	1-041L_eg.jpg	3	ICE	6000	V	null	Forward	SeeD	"When Squall blocks or is blocked, choose 1 Forward. You may deal it 6000 damage.[[br]] [[s]]Renzokuken [[/]]{S}{ICE}: Squall gains First Strike until the end of the turn."
Squall	Opus_I	1-042R_eg.jpg	4	ICE	6000	D	VIII	Forward	SeeD	"If you control [Card Name (Laguna)], Squall gains +3000 power.[[br]] When Squall enters the field, each player discards 1 card from his/her hand. If you control [Card Name (Laguna)], your opponent discards 1 more card from his/her hand."
Snow	Opus_I	1-043H_eg.jpg	1	ICE	3000	X	null	Forward	Commando	"When Snow attacks, choose 1 Forward opponent controls. Dull it. If you have cast [Card Name (Shiva)] this turn, Freeze it also."
Sephiroth	Opus_I	1-044R_eg.jpg	5	ICE	7000	V	null	Forward	SOLDIER	"First Strike[[br]] When Sephiroth enters the field, each player discards 2 cards from his/her hand."
Serah	Opus_I	1-045R_eg.jpg	2	ICE	0	X	null	Backup	L'Cie	"If you control [Card Name (Snow)], it cannot be chosen by your opponent's abilities."
Terra	Opus_I	1-046H_eg.jpg	3	ICE	6000	D	VI	Forward	Magitek Knight	"The cost required for your opponent to cast Summons increases by 1.[[br]] Terra cannot be chosen by opponent's Summons.[[br]] [[s]]Trance [[/]]{S}{ICE}{ICE}: Until the end of the turn, Terra gains +3000 power and First Strike."
Terra	Opus_I	1-047R_eg.jpg	4	ICE	7000	D	VI	Forward	Magitek Knight	"When Terra enters the field, choose up to 2 dull Forwards opponent controls. Deal them 4000 damage.[[br]] {ICE}: Choose 1 dull Forward. Deal it 1000 damage.[[br]] [[s]]Magic Charge[[/]] {S}: Terra gains ""If Terra deals damage to a Forward, double the damage"" until the end of the turn."
Devout	Opus_I	1-048C_eg.jpg	4	ICE	0	I	null	Backup	Standard Unit	"{TAP}, put Devout into the Break Zone: Choose 1 Forward of cost 4 or less from your Break Zone. Play it onto the field. You can only use this ability during your turn."
Time Mage	Opus_I	1-049C_eg.jpg	2	ICE	0	F	null	Backup	Standard Unit	{ICE}{TAP}: Choose 1 Forward. It cannot attack this turn.
Knight	Opus_I	1-050C_eg.jpg	3	ICE	7000	F	null	Forward	Standard Unit	
Nooj	Opus_I	1-051R_eg.jpg	3	ICE	7000	X	null	Forward	Mevyn	"When Nooj enters the field, your opponent discards 1 card from his/her hand.[[br]] When Nooj leaves the field, your opponent draws 1 card."
Hades	Opus_I	1-052R_eg.jpg	5	ICE	0	V	null	Summon		Choose 1 Forward and 1 Backup opponent controls. Dull the Forward and return the Backup to its owner's hand. Your opponent discards 1 card from his/her hand.
Summoner	Opus_I	1-053C_eg.jpg	3	ICE	0	I	null	Backup	Standard Unit	"{ICE}, put Summoner into the Break Zone: Choose 1 Summon. Cancel its effect."
Dark Knight	Opus_I	1-054C_eg.jpg	4	ICE	7000	I	null	Forward	Standard Unit	{ICE}{ICE}: Deal 1000 damage to all the Forwards opponent controls.
Dark Knight	Opus_I	1-055C_eg.jpg	3	ICE	8000	I	null	Forward	Standard Unit	"When Dark Knight is put from the field into the Break Zone, Dark Knight deals you 1 point of damage."
Josef	Opus_I	1-056H_eg.jpg	4	ICE	8000	I	null	Forward	Rebel	"Brave[[br]] {TAP}, put Josef into the Break Zone: Choose 1 blocking Forward. It cannot be broken this turn."
Duke Larg	Opus_I	1-057R_eg.jpg	3	ICE	0	F	null	Backup	Duke	The Ice Forwards you control gain +1000 power.
Laguna	Opus_I	1-058L_eg.jpg	5	ICE	9000	V	null	Forward	Marksman	"When Laguna deals damage to your opponent, choose 1 dull Forward. You may deal it 7000 damage.[[br]] [[s]]Desperado[[/]] {S}{ICE}{ICE}: Choose 1 dull Forward. Deal it 9000 damage."
Laguna	Opus_I	1-059R_eg.jpg	4	ICE	7000	D	VIII	Forward	Marksman	"[[ex]]EX BURST[[/]] When Laguna enters the field, choose 1 Forward opponent controls. Dull it. If you control [Card Name (Squall)], Freeze this forward also.[[br]] If you control [Card Name (Squall)], Laguna gains +2000 power."
Leon	Opus_I	1-060H_eg.jpg	3	ICE	9000	I	null	Forward	Rebel	"When Leon enters the field, your opponent may play 1 Character Card from his/her hand onto the field."
Alexander	Opus_I	1-061R_eg.jpg	4	WIND	0	X	null	Summon		[[ex]]EX BURST[[/]] Choose 1 Forward of cost 5 or more. Break it.
Valefor	Opus_I	1-062L_eg.jpg	5	WIND	0	X	null	Summon		Return all Forwards to their owners' hands.
Vaan	Opus_I	1-063H_eg.jpg	5	WIND	7000	D	XII	Forward	Sky Pirate	"When Vaan enters the field, you may play 1 Wind Forward of cost 3 or less from your hand onto the field.[[br]] When Vaan attacks, choose up to 2 Backups you control. Activate them."
Aerith	Opus_I	1-064R_eg.jpg	3	WIND	0	V	null	Backup	Ancient	"When Aerith enters the field, choose up to 3 Backups you control other than Aerith. Activate them.[[br]] [[s]]Planet Protector[[/]] {S}{TAP}: Activate all Forwards you control. They cannot be chosen by Summons or abilities this turn."
Aerith	Opus_I	1-065C_eg.jpg	2	WIND	0	V	null	Backup	Ancient	"When Aerith enters the field, choose 1 Backup you control other than Aerith. Activate it."
Dancer	Opus_I	1-066C_eg.jpg	3	WIND	0	F	null	Backup	Standard Unit	{TAP}: Deal 1000 damage to all the Forwards opponent controls.
Onion Knight	Opus_I	1-067R_eg.jpg	4	WIND	8000	D	III	Forward	Ninja	"When Onion Knight enters the field, choose 1 Backup you control. Activate it."
Evoker	Opus_I	1-068C_eg.jpg	1	WIND	0	I	null	Backup	Standard Unit	
Thief	Opus_I	1-069C_eg.jpg	2	WIND	5000	I	null	Forward	Standard Unit	"When Thief enters the field, your opponent puts the top card of his/her deck into the Break Zone."
Thief	Opus_I	1-070C_eg.jpg	2	WIND	0	I	null	Backup	Standard Unit	"When Thief enters the field, your opponent puts the top card of his/her deck into the Break Zone."
Zidane	Opus_I	1-071L_eg.jpg	2	WIND	3000	D	IX	Forward	Genome	Zidane cannot be chosen by your opponent's Summons or abilities.[[br]] Zidane cannot be blocked by a Forward of cost 4 or more.
Cid Highwind	Opus_I	1-072R_eg.jpg	4	WIND	8000	V	null	Forward	Pilot	"When the Forward that took damage from Cid Highwind is put from the field into the Break Zone on the same turn, your opponent puts the top 2 cards of his/her deck into the Break Zone.[[br]] [[s]]Highwind[[/]] {S}{TAP}: Your opponent puts the top 2 cards of his/her deck into the Break Zone."
Cid Highwind	Opus_I	1-073C_eg.jpg	2	WIND	5000	V	null	Forward	Pilot	"When the Forward that took damage from Cid Highwind is put from the field into the Break Zone on the same turn, your opponent puts the top 2 cards of his/her deck into the Break Zone."
Sylph	Opus_I	1-074R_eg.jpg	1	WIND	0	F	null	Summon		[[ex]]EX BURST[[/]] Choose 1 Forward. Activate it. All the Forwards you control gain +1000 power until the end of the turn.
Chocobo	Opus_I	1-075C_eg.jpg	3	WIND	4000	V	null	Forward	Standard Unit	"Haste[[br]] When Chocobo forms a party and attacks, Chocobo and all the Forwards forming a party with it gain +3000 power until the end of the turn."
Chocobo	Opus_I	1-076C_eg.jpg	1	WIND	3000	V	null	Forward	Standard Unit	"When Chocobo forms a party and attacks, Chocobo and all the Forwards forming a party with it gain +2000 power until the end of the turn."
Devout	Opus_I	1-077C_eg.jpg	5	WIND	0	I	null	Backup	Standard Unit	"When Devout enters the field, choose 1 Forward of cost 2 or less from your Break Zone. Play it onto the field."
Ninja	Opus_I	1-078C_eg.jpg	3	WIND	6000	I	null	Forward	Standard Unit	"{WIND}, discard 1 card from your hand: Choose 1 Forward. Deal it 2000 damage."
Nora	Opus_I	1-079R_eg.jpg	3	WIND	0	X	null	Backup	Mother	"[[ex]]EX BURST[[/]] When Nora enters the field, you may search for 1 [Card Name (Hope)] and add it to your hand."
Bartz	Opus_I	1-080H_eg.jpg	5	WIND	9000	D	V	Forward	Wanderer	"[[ex]]EX BURST[[/]] When Bartz enters the field, activate all the Wind Characters you control."
Bartz	Opus_I	1-081R_eg.jpg	4	WIND	8000	D	V	Forward	Wanderer	Bartz has all the jobs.
Hope	Opus_I	1-082R_eg.jpg	3	WIND	7000	X	null	Forward	Ravager	"When Hope enters the field, choose 1 Backup you control. Activate it. If you have cast [Card Name (Alexander)] this turn, activate all the Backups you control instead."
Maria	Opus_I	1-083H_eg.jpg	4	WIND	0	I	null	Backup	Rebel	The Forwards you control gain +1000 power.
Y'shtola	Opus_I	1-084H_eg.jpg	2	WIND	3000	D	XIV	Forward	Scion of the Seventh Dawn	{WIND}: Choose 1 Forward. Deal it 1000 damage.[[br]] {TAP}: Choose 1 Forward. Deal it 2000 damage.
Yuffie	Opus_I	1-085R_eg.jpg	3	WIND	6000	V	null	Forward	Ninja	Yuffie cannot be blocked by a Forward of cost 4 or more.[[br]] [[s]]Bloodfest [[/]]{S}{TAP}: Choose up to 3 Forwards. Divide 6000 damage among them as you like. (Unit must be 1000.)
Yuffie	Opus_I	1-086C_eg.jpg	1	WIND	3000	V	null	Forward	Ninja	Yuffie cannot be blocked by a Forward of cost 3 or more.
Archer	Opus_I	1-087C_eg.jpg	1	WIND	3000	F	null	Forward	Standard Unit	"First Strike (If this Forward blocks or is blocked by a Forward that doesn't have First Strike, this Forward deals damage first.)"
Archer	Opus_I	1-088C_eg.jpg	2	WIND	0	F	null	Backup	Standard Unit	"{WIND}{WIND}{TAP}, put Archer into the Break Zone: Choose 1 Backup of cost 3 or less. Break it."
Rikku	Opus_I	1-089H_eg.jpg	2	WIND	0	X	null	Backup	Al Bhed	{WIND}{TAP}: Your opponent puts 1 card from the top of his/her deck into the Break Zone.[[br]] [[s]]Mug [[/]]{S}{WIND}{TAP}: Your opponent puts the top 2 cards of his/her deck into the Break Zone. You draw 1 card.
Rikku	Opus_I	1-090R_eg.jpg	4	WIND	7000	X	null	Forward	Al Bhed	"When Rikku enters the field, choose up to 5 Backups you control. Return them to their owners' hands."
Amodar	Opus_I	1-091R_eg.jpg	4	EARTH	0	X	null	Backup	Lieutenant	"[[ex]]EX BURST[[/]] When Amodar enters the field, you may search for 1 [Card Name (Lightning)] or [Card Name (Snow)] and add it to your hand."
Dark Knight	Opus_I	1-092C_eg.jpg	2	EARTH	3000	F	null	Forward	Standard Unit	"For each point of damage you have received, Dark Knight gains +1000 power."
Vanille	Opus_I	1-093H_eg.jpg	4	EARTH	7000	X	null	Forward	Saboteur	"When Vanille is put from the field into the Break Zone, search for 1 [Card Name (Hecatoncheir)] and remove it from the game. If you do so, return Vanille onto the field dull."
Vincent	Opus_I	1-094R_eg.jpg	5	EARTH	9000	V	null	Forward	Gunslinger	"When Vincent attacks, Vincent gains First Strike until the end of the turn.[[br]] [[s]]Berserk Dance [[/]]{S}{TAP}: Choose 1 Forward. Deal it 6000 damage."
Enna Kros	Opus_I	1-095R_eg.jpg	3	EARTH	0	W	null	Backup	Creator of Worlds	The Earth Forwards you control gain +1000 power.
Mystic	Opus_I	1-096C_eg.jpg	2	EARTH	3000	F	null	Forward	Standard Unit	Put 1 Backup into the Break Zone: Mystic gains +3000 power until the end of the turn.
Guy	Opus_I	1-097H_eg.jpg	4	EARTH	8000	I	null	Forward	Rebel	Brave[[br]] Guy cannot become dull by your opponent's Summons or abilities.
Gabranth	Opus_I	1-098R_eg.jpg	6	EARTH	8000	D	XII	Forward	Judge	"For each point of damage you have received, Gabranth gains +1000 power.[[br]] If you have received 6 points of damage or more, Gabranth gains Brave."
Black Belt	Opus_I	1-099C_eg.jpg	4	EARTH	8000	I	null	Forward	Standard Unit	
Black Belt	Opus_I	1-100C_eg.jpg	2	EARTH	0	I	null	Backup	Standard Unit	{EARTH}{TAP}: Choose 1 blocking Forward. It gains +1000 power until the end of the turn.
Gippal	Opus_I	1-101R_eg.jpg	4	EARTH	8000	X	null	Forward	Faction Leader	"[[ex]]EX BURST[[/]] When Gippal enters the field, all the Forwards you control gain +4000 power until the end of the turn."
Kimahri	Opus_I	1-102H_eg.jpg	4	EARTH	8000	X	null	Forward	Guardian	[[s]]Ronso Rage[[/]] {S}{EARTH}{EARTH}: Choose 1 Forward opponent controls. Kimahri gains its Special Ability until the end of the turn. You can use this ability without paying any cost but only once.
Kimahri	Opus_I	1-103C_eg.jpg	2	EARTH	0	X	null	Backup	Guardian	Kimahri gains Elements of all the Characters opponent controls except Light and Dark.
Kefka	Opus_I	1-104H_eg.jpg	4	EARTH	0	D	VI	Backup	Mage	"{TAP}: Choose 1 Forward you control. It gains +5000 power until the end of the turn. At the end of the turn, break it."
Evoker	Opus_I	1-105C_eg.jpg	1	EARTH	0	I	null	Backup	Standard Unit	
Golem	Opus_I	1-106C_eg.jpg	1	EARTH	0	F	null	Summon		"[[ex]]EX BURST[[/]] Choose 1 Forward. It gains +2000 power until the end of the turn. If it is blocking, it gains +4000 power until the end of the turn instead."
Shantotto	Opus_I	1-107L_eg.jpg	7	EARTH	0	D	XI	Backup	Mage	"If Shantotto is on the field, it gains Elements of Fire, Ice, Wind, Earth, Lightning and Water.[[br]] When Shantotto enters the field, remove all the Forwards from the game."
Cecil	Opus_I	1-108H_eg.jpg	3	EARTH	7000	D	IV	Forward	Dark Knight	"When you receive damage, choose 1 Forward opponent controls. You may deal it 5000 damage."
Serafie	Opus_I	1-109R_eg.jpg	2	EARTH	6000	W	null	Forward	Companion	"[[ex]]EX BURST[[/]] When Serafie enters the field, each player selects 1 Forward from his/her Break Zone and adds it to his/her hand."
Titan	Opus_I	1-110C_eg.jpg	2	EARTH	0	F	null	Summon		Choose 1 Forward you control. Dull it. It cannot be broken this turn.
Tama	Opus_I	1-111C_eg.jpg	2	EARTH	0	W	null	Backup	Companion	"{X}{TAP}, put Tama into the Break Zone: Play 1 Character Card of cost X or less from your hand onto the field."
Delita	Opus_I	1-112R_eg.jpg	3	EARTH	9000	F	null	Forward	Knight	"When Delita enters the field, choose 1 Character you control. Break it.[[br]] [[s]]Northswain's Strike[[/]] {S}{EARTH}: Choose 1 Forward blocking Delita. Break it."
Delita	Opus_I	1-113C_eg.jpg	2	EARTH	5000	F	null	Forward	Warrior	"When Delita blocks, Delita gains +2000 power until the end of the turn."
Barret	Opus_I	1-114R_eg.jpg	3	EARTH	7000	V	null	Forward	AVALANCHE Operative	[[s]]Hammer Blow [[/]]{S}{EARTH}{EARTH}: Choose 1 Forward. Deal it 4000 damage. Barret gains +4000 power until the end of the turn.
Geomancer	Opus_I	1-115C_eg.jpg	2	EARTH	0	I	null	Backup	Standard Unit	"When Geomancer enters the field, choose 1 Forward. It gains Brave until the end of the turn."
Prishe	Opus_I	1-116L_eg.jpg	5	EARTH	8000	D	XI	Forward	Abhorrent One	"When Prishe blocks, Prishe gains +4000 power until the end of the turn.[[br]] {EARTH}: Prishe gains Brave until the end of the turn.[[br]] [[s]]Auroral Uppercut[[/]] {S}{EARTH}: Double the power of Prishe until the end of the turn."
Hecatoncheir	Opus_I	1-117R_eg.jpg	3	EARTH	0	X	null	Summon		Choose 1 Backup of cost 3 or more. Break it.
Mustadio	Opus_I	1-118R_eg.jpg	5	EARTH	0	F	null	Backup	Machinist	"[[ex]]EX BURST[[/]] When Mustadio enters the field, choose 1 dull Forward. Break it."
Monk	Opus_I	1-119C_eg.jpg	2	EARTH	6000	F	null	Forward	Standard Unit	
Monk	Opus_I	1-120C_eg.jpg	2	EARTH	0	F	null	Backup	Standard Unit	"{EARTH}{TAP}, put Monk into the Break Zone: Choose 1 Forward. It gains +2000 power until the end of the turn."
Red Mage	Opus_I	1-121C_eg.jpg	2	LIGHTNING	0	I	null	Backup	Standard Unit	{LIGHTNING}{TAP}: Choose 1 Forward. It gains Haste until the end of the turn.
Exdeath	Opus_I	1-122H_eg.jpg	5	LIGHTNING	9000	D	V	Forward	Wizard	Any card put in the Damage Zone due to Exdeath cannot use its EX Burst.
Odin	Opus_I	1-123R_eg.jpg	4	LIGHTNING	0	X	null	Summon		Choose 1 Forward of cost 4 or less. Break it.
Odin	Opus_I	1-124R_eg.jpg	7	LIGHTNING	0	F	null	Summon		[[ex]]EX BURST[[/]] Choose 1 Forward. Break it.
Onion Knight	Opus_I	1-125R_eg.jpg	3	LIGHTNING	6000	D	III	Forward	Sage	"When Onion Knight enters the field, choose 1 damaged Forward. Deal it 5000 damage."
Orlandeau	Opus_I	1-126H_eg.jpg	5	LIGHTNING	7000	F	null	Forward	Sword Saint	"When Orlandeau attacks, deal 3000 damage to all the Forwards opponent controls.[[br]] {LIGHTNING}{LIGHTNING}: Orlandeau gains Haste until the end of the turn."
Kain	Opus_I	1-127H_eg.jpg	6	LIGHTNING	8000	D	IV	Forward	Dragoon	"[[ex]]EX BURST[[/]] When Kain enters the field, choose 1 Forward. It loses 5000 power until the end of the turn.[[br]] [[s]]Dragoon's Pride[[/]] {S}{LIGHTNING}{LIGHTNING}{TAP}: Choose 1 Forward. Break it. Kain will not activate during your next Active Phase."
Gilgamesh	Opus_I	1-128R_eg.jpg	3	LIGHTNING	7000	D	V	Forward	Praetorian	"[[s]]Gilgamesh Morphing Time [[/]]{S}{LIGHTNING}{LIGHTNING}: Until the end of the turn, Gilgamesh doubles its power and gains First Strike and Brave. Gilgamesh can attack twice this turn. You can use this ability only during your turn."
Gilgamesh	Opus_I	1-129C_eg.jpg	4	LIGHTNING	8000	D	V	Forward	Praetorian	"Brave[[br]] [[s]]Strongest Sword[[/]] {S}{TAP}: Choose 1 Forward. Remove the top card of your deck from the game. If the removed card is a Forward, break it. If not, deal it 3000 damage."
Black Mage	Opus_I	1-130C_eg.jpg	2	LIGHTNING	0	F	null	Backup	Standard Unit	"{LIGHTNING}{LIGHTNING}{TAP}, put Black Mage into the Break Zone: Choose 1 damaged Forward. Break it."
Cait Sith	Opus_I	1-131R_eg.jpg	3	LIGHTNING	5000	V	null	Forward	Spy	"When Cait Sith enters the field, choose 1 Backup of cost 1 or less. Break it.[[br]] [[s]]Slots[[/]] {S}{LIGHTNING}{TAP}: Remove the top card of your deck from the game. If it's a Forward, deal 7000 damage to all the active Forwards opponent controls."
Cait Sith	Opus_I	1-132C_eg.jpg	1	LIGHTNING	2000	V	null	Forward	Spy	"[[ex]]EX BURST[[/]] When Cait Sith enters the field, choose 1 Forward opponent controls. Dull it."
Sage	Opus_I	1-133C_eg.jpg	4	LIGHTNING	0	I	null	Backup	Standard Unit	"When Sage enters the field, choose 1 Character Card in your Break Zone. Add it to your hand."
Duke Goltanna	Opus_I	1-134R_eg.jpg	3	LIGHTNING	0	F	null	Backup	Duke	"When Duke Goltanna enters the field, you may search for 1 [Job (Knight)] and add it to your hand."
Golbez	Opus_I	1-135L_eg.jpg	6	LIGHTNING	9000	D	IV	Forward	Warlock	"When Golbez is put from the field into the Break Zone, you may search for up to 4 Forwards of cost 2, each of a different Element and play them onto the field. Their auto-abilities will not trigger."
Zalbaag	Opus_I	1-136C_eg.jpg	3	LIGHTNING	5000	F	null	Forward	Knight	"When Zalbaag enters the field, choose 1 Forward of cost 2. Break it."
Seymour	Opus_I	1-137R_eg.jpg	4	LIGHTNING	0	X	null	Backup	Summoner	"When Seymour enters the field, choose 1 Forward of cost 3 or less. Break it."
Summoner	Opus_I	1-138C_eg.jpg	1	LIGHTNING	0	F	null	Backup	Standard Unit	
Summoner	Opus_I	1-139C_eg.jpg	3	LIGHTNING	0	I	null	Backup	Standard Unit	"{TAP}, put Summoner into the Break Zone: Cast 1 Summon of cost 6 or less from your hand without paying its cost."
Magus	Opus_I	1-140C_eg.jpg	3	LIGHTNING	0	I	null	Backup	Standard Unit	"When Magus enters the field, choose 1 Forward. Deal it 5000 damage."
Lightning	Opus_I	1-141L_eg.jpg	6	LIGHTNING	9000	X	null	Forward	Ravager	"When Lightning enters the field, you may search for 1 [Card Name (Odin)] and add it to your hand.[[br]] [[s]]Army of One[[/]] {S}{LIGHTNING}: Until the end of the turn, Lightning gains Haste, First Strike and ""When Lightning attacks, choose up to 1 Forward opponent controls. If it is possible, it must block Lightning this turn""."
Lightning	Opus_I	1-142R_eg.jpg	4	LIGHTNING	4000	X	null	Forward	Ravager	"Haste[[br]] When Lightning enters the field, choose 1 Forward opponent controls. Dull it."
Ramuh	Opus_I	1-143C_eg.jpg	1	LIGHTNING	0	F	null	Summon		[[ex]]EX BURST[[/]] Choose 1 active Forward. Deal it 5000 damage.
Ramza	Opus_I	1-144R_eg.jpg	4	LIGHTNING	5000	F	null	Forward	Knight	"For each Backup you control, Ramza gains +1000 power.[[br]] [[s]]Shout[[/]] {S}{LIGHTNING}: Until the end of the turn, Ramza gains +2000 power, Haste and First Strike."
